System,N,Chi-square,sigma_0,Period (days),P error,T0 (BJD TDB),T0 error,Time system,Reference
HAT-P-20,33,163.71,0.00078,2.87531738,7.1E-07,2456233.9298,0.00016,BJD_TDB,This work
HAT-P-21,6,4.68,0.00039,4.12448799,9.6E-07,2458902.30403,0.00044,BJD_TDB,This work
HAT-P-22,9,6.65,0.0,3.21223242,2.6E-07,2458871.62997,0.00011,BJD_TDB,This work
HAT-P-23,38,22.92,0.0,1.212886397,7.8E-08,2456500.57797,8.1E-05,BJD_TDB,This work
HAT-P-24,19,17.28,0.0001,3.35524397,2.8E-07,2458495.05087,0.00018,BJD_TDB,This work
HAT-P-25,33,41.08,0.00048,3.65281532,4.8E-07,2457405.06986,0.0002,BJD_TDB,This work
HAT-P-26,21,82.22,0.0009,4.2345026,1.2E-06,2456545.36124,0.00028,BJD_TDB,This work
HAT-P-27,10,8.46,0.00022,3.0395802,1.2E-06,2456018.86487,0.00023,BJD_TDB,This work
HAT-P-28,1,0,0,3.2572124,1.2E-06,2457713.934,0.0005,BJD_TDB,2021ExA...tmp..101K
HAT-P-29,17,218.72,0.00552,5.7233724,7E-06,2456983.2655,0.0014,BJD_TDB,This work
HAT-P-30,21,205.99,0.00112,2.81060126,6E-07,2457426.69746,0.00032,BJD_TDB,This work
HAT-P-31,17,20.74,0.00088,5.0052704,4E-06,2458270.0471,0.00078,BJD_TDB,This work
HAT-P-32,43,49.72,0.00021,2.1500079,1.4E-07,2456628.505625,7.1E-05,BJD_TDB,This work
HAT-P-33,24,115.17,0.001,3.47447613,5.4E-07,2456636.22232,0.00024,BJD_TDB,This work
HAT-P-34,15,520.47,0.00766,5.4526576,9.1E-06,2457923.4524,0.0021,BJD_TDB,This work
HAT-P-35,16,28.29,0.00124,3.6466594,1.5E-06,2457449.39682,0.00058,BJD_TDB,This work
HAT-P-36,52,94.23,0.00052,1.32734686,1.3E-07,2457138.08759,0.00012,BJD_TDB,This work
HAT-P-37,9,9.84,0.00042,2.7974414,1.1E-06,2456565.29983,0.00028,BJD_TDB,This work
HAT-P-38,11,34.73,0.00126,4.6403276,2.2E-06,2457450.11204,0.00049,BJD_TDB,This work
HAT-P-39,1,0,0,3.54387,5E-06,2455208.751280,0.00041,BJD_TDB,2012AJ....144..139H
HAT-P-40,5,1.88,0.0,4.4572181,1.3E-06,2458741.56891,0.0007,BJD_TDB,This work
HAT-P-41,1,0,0,2.69404861,9.2E-07,2456600.29325,0.0005,BJD_TDB,2020AJ....159..204W
HAT-P-42,13,13.57,0.00061,4.6418402,1.6E-06,2457753.56029,0.00046,BJD_TDB,This work
HAT-P-43,21,24.77,0.00091,3.3326808,1.1E-06,2457450.42055,0.00045,BJD_TDB,This work
HAT-P-44,18,28.89,0.00085,4.3011902,1.3E-06,2457133.53487,0.00042,BJD_TDB,This work
HAT-P-45,7,3.81,0.0,3.12899225,9.2E-07,2457585.47928,0.00047,BJD_TDB,This work
HAT-P-46,5,0.16,0.0,4.463137,2.5E-06,2457919.5163,0.0012,BJD_TDB,This work
HAT-P-47,5,0.76,0.0,4.73217352,8.7E-07,2458794.33631,0.0004,BJD_TDB,This work
HAT-P-48,5,0.08,0.0,4.408628,1E-06,2458792.99174,0.00063,BJD_TDB,This work
HAT-P-49,17,13.79,0.0,2.69155547,5.9E-07,2458684.75534,0.00019,BJD_TDB,This work
HAT-P-50,15,10.61,0.0,3.12200544,6.4E-07,2458493.16853,0.00035,BJD_TDB,This work
HAT-P-51,1,0,0,4.2180278,5.9E-06,2456194.122802,0.0004,BJD_TDB,2015AJ....150..168H
HAT-P-52,25,18.86,0.0,2.75359762,4.7E-07,2457727.30376,0.00026,BJD_TDB,This work
HAT-P-53,1,0,0,1.9616265,7E-07,2456514.0562,0.00025,BJD_TDB,2021ExA...tmp..101K
HAT-P-54,11,86.93,0.00129,3.7998529,1.7E-06,2458864.20475,0.00042,BJD_TDB,This work
HAT-P-55,13,11.93,0.00039,3.58523164,1E-06,2458989.5314,0.00039,BJD_TDB,This work
HAT-P-56,9,1.57,0.0,2.79082479,4.9E-07,2459475.61077,0.0003,BJD_TDB,This work
HAT-P-57,1,0,0,2.465295,3.2E-06,2455113.482016,0.00048,BJD_TDB,2015AJ....150..197H
HAT-P-58,6,0.87,0.0,4.0138358,2.6E-06,2458818.02566,0.00077,BJD_TDB,This work
HAT-P-59,67,90.09,0.00039,4.141977,2.3E-06,2459028.59662,0.00013,BJD_TDB,This work
HAT-P-60,5,4.33,0.00043,4.7947925,9E-06,2458792.47158,0.00042,BJD_TDB,This work
HAT-P-61,1,0,0,1.90231289,7.7E-07,2457851.21119,0.00047,BJD_TDB,2021AJ....162....7B
HAT-P-62,1,0,0,2.6453235,3.9E-06,2457118.38979,0.00044,BJD_TDB,2021AJ....162....7B
HAT-P-63,1,0,0,3.377728,1.3E-05,2456382.94256,0.00053,BJD_TDB,2021AJ....162....7B
HAT-P-64,12,10.75,0.00044,4.0072342,3.1E-06,2458460.74371,0.00041,BJD_TDB,This work
HAT-P-65,1,0,0,2.6054552,3.1E-06,2456409.333413,0.00046,BJD_TDB,2016AJ....152..182H
HAT-P-66,9,3.1,0.0,2.9720887,1.8E-06,2458872.64403,0.0007,BJD_TDB,This work
HAT-P-67,11,18.98,0.00073,4.8101046,1.7E-06,2458958.08059,0.00032,BJD_TDB,This work
HAT-P-69,10,62.84,0.00186,4.7869568,8.1E-06,2458514.94134,0.00079,BJD_TDB,This work
HAT-P-70,18,8.99,0.0,2.74432,1E-06,2459175.05277,0.00017,BJD_TDB,This work
HATS-01,13,17.19,0.00042,3.44645559,7.4E-07,2458574.01095,0.0002,BJD_TDB,This work
HATS-02,32,41.56,0.00051,1.35413371,2.6E-07,2458572.12696,0.00017,BJD_TDB,This work
HATS-03,8,6.68,0.00028,3.54785015,8.4E-07,2458327.25242,0.00032,BJD_TDB,This work
HATS-04,20,16.39,0.0,2.51672626,3.7E-07,2458468.52134,0.00025,BJD_TDB,This work
HATS-05,11,4.93,0.0,4.76339004,7.4E-07,2458441.13392,0.00023,BJD_TDB,This work
HATS-06,21,23.67,0.00046,3.32526423,8E-07,2458469.31139,0.00021,BJD_TDB,This work
HATS-07,1,0,0,3.185315,5.4E-06,2456528.297755,0.00058,BJD_TDB,2015ApJ...813..111B
HATS-09,1,0,0,1.915311,9.4E-07,2457380.70247,3.6E-05,BJD,2018AJ....155..119B
HATS-10,1,0,0,3.312846,5.8E-06,2456457.882721,0.00022,BJD_TDB,2015AJ....150...33B
HATS-11,1,0,0,3.6191634,3.1E-06,2457378.4191,6.9E-05,BJD,2018AJ....155..119B
HATS-12,1,0,0,3.1428347,0.0000022,2457364.66541,0.00012,BJD,2018AJ....155..119B
HATS-13,15,10.9,0.0,3.04405314,6.4E-07,2458328.08451,0.00033,BJD_TDB,This work
HATS-14,18,13.12,0.0,2.76675696,6.6E-07,2458326.12793,0.00039,BJD_TDB,This work
HATS-15,1,0,0,1.74748753,9.4E-07,2456387.212397,0.00015,BJD_TDB,2016PASP..128g4401C
HATS-16,19,42.78,0.00326,2.6865049,4.2E-06,2458356.10012,0.00098,BJD_TDB,This work
HATS-17,5,6.67,0.0026,16.254686,3E-05,2458585.8349,0.0015,BJD_TDB,This work
HATS-18,52,53.86,0.00027,0.8378434,1.6E-07,2458217.64374,0.00016,BJD_TDB,This work
HATS-19,14,6.3,0.0,4.569681,1.4E-06,2458547.31284,0.00038,BJD_TDB,This work
HATS-20,1,0,0,3.7992969,7.9E-06,2457121.165926,0.00055,BJD_TDB,2016arXiv160700322B
HATS-21,9,13.74,0.00119,3.5544073,3.3E-06,2458655.39337,0.00059,BJD_TDB,This work
HATS-22,9,4.14,0.0,4.72281583,9.5E-07,2458575.71364,0.00021,BJD_TDB,This work
HATS-23,1,0,0,2.1605156,4.5E-06,2457072.853444,0.0007,BJD_TDB,2017MNRAS.468..835B
HATS-24,42,41.03,0.00013,1.34849676,2.3E-07,2457948.70961,0.00017,BJD_TDB,This work
HATS-25,9,7.24,0.00024,4.2986471,1.4E-06,2458602.72423,0.00038,BJD_TDB,This work
HATS-26,18,16.8,0.00053,3.3023935,2.3E-06,2458518.62026,0.00056,BJD_TDB,This work
HATS-27,13,6.52,0.0,4.6370495,3.1E-06,2458573.47537,0.0006,BJD_TDB,This work
HATS-28,9,7.84,0.00061,3.1810697,2E-06,2458659.81043,0.00065,BJD_TDB,This work
HATS-29,1,0,0,4.6058749,6.3E-06,2457031.956951,0.00038,BJD_TDB,2016AJ....152..108E
HATS-30,30,38.29,0.0007,3.174351,1.1E-06,2458328.04017,0.00024,BJD_TDB,This work
HATS-31,1,0,0,3.37796,1.2E-05,2456960.148367,0.0011,BJD_TDB,2016AJ....152..161D
HATS-32,15,16.54,0.00164,2.8126545,2.6E-06,2458355.98047,0.00084,BJD_TDB,This work
HATS-33,22,28.13,0.00035,2.5495633,6.3E-07,2458654.16323,0.00014,BJD_TDB,This work
HATS-34,1,0,0,2.1061619,1.3E-06,2457346.74007,0.00046,BJD,2021MNRAS.501.5393L
HATS-35,14,19.1,0.00091,1.8210003,1.1E-06,2458655.30207,0.00038,BJD_TDB,This work
HATS-36,1,0,0,4.1752387,2.2E-06,2457289.411210,0.000069,BJD,2018AJ....155..119B
HATS-37A,1,0,0,4.3315366,4.1E-06,2458006.802225,0.0005,BJD_TDB,2020AJ....160..222J
HATS-38,10,8.01,0.00011,4.375042,4E-06,2458547.66936,0.00069,BJD_TDB,This work
HATS-39,5,3.6,0.00088,4.5776375,3.6E-06,2459233.3143,0.0011,BJD_TDB,This work
HATS-40,1,0,0,3.2642736,5.8E-06,2456962.676772,0.001,BJD_TDB,2018MNRAS.477.3406B
HATS-41,16,8.77,0.0,4.1936656,2.9E-06,2458468.99745,0.00069,BJD_TDB,This work
HATS-42,21,15.54,0.0,2.29210299,8.7E-07,2459202.8215,0.00062,BJD_TDB,This work
HATS-43,18,16.63,0.00018,4.3888479,1.5E-06,2458439.24937,0.00019,BJD_TDB,This work
HATS-44,1,0,0,2.7439004,3.2E-06,2456931.114615,0.00061,BJD_TDB,2018AJ....155..112B
HATS-45,16,9.95,0.0,4.1876183,1.7E-06,2458469.05787,0.00049,BJD_TDB,This work
HATS-46,14,8.89,0.0,4.7423714,2.7E-06,2458358.35714,0.00044,BJD_TDB,This work
HATS-47,11,10.84,0.00068,3.9228021,2.4E-06,2458659.88275,0.0005,BJD_TDB,This work
HATS-48,16,5.44,0.0,3.1316671,1.2E-06,2458656.98882,0.00041,BJD_TDB,This work
HATS-50,1,0,0,3.8297015,4.6E-06,2456870.348712,0.00068,BJD_TDB,2018AJ....155...79H
HATS-51,29,27.87,0.00019,3.3488693,1E-06,2458468.6228,0.00022,BJD_TDB,This work
HATS-52,14,13.44,0.00034,1.36665569,3.3E-07,2459256.44579,0.00029,BJD_TDB,This work
HATS-53,12,5.83,0.0,3.8537783,1.3E-06,2459283.11357,0.00046,BJD_TDB,This work
HATS-54,1,0,0,2.5441828,4.3E-06,2457780.011796,0.00089,BJD_TDB,2019AJ....158...63E
HATS-55,6,2.67,0.0,4.2041844,3E-06,2459229.3389,0.0012,BJD_TDB,This work
HATS-56,6,1.76,0.0,4.3247661,4E-06,2459310.32135,0.00073,BJD_TDB,This work
HATS-57,24,31.22,0.00036,2.35061769,7.7E-07,2458462.52596,0.00016,BJD_TDB,This work
HATS-58,6,2.9,0.0,4.2180732,4.2E-06,2459310.81673,0.00071,BJD_TDB,This work
HATS-59,5,2.33,0.0,5.4161077,2.3E-06,2459285.391,0.001,BJD_TDB,This work
HATS-60,15,12.9,0.0,3.5608064,3.5E-06,2459091.08817,0.00075,BJD_TDB,This work
HATS-61,3,2.53,0.00781,7.817932,5.6E-05,2459150.6509,0.0071,BJD_TDB,This work
HATS-62,1,0,0,3.2768837,0.0000033,2455808.052337,0.00043,BJD_TDB,2019AJ....157...55H
HATS-63,16,11.41,0.0,3.0566454,2.2E-06,2459145.46803,0.00062,BJD_TDB,This work
HATS-64,4,4.74,0.00441,4.908886,1.8E-05,2459257.2162,0.0034,BJD_TDB,This work
HATS-65,1,0,0,3.1051610,0.0000016,2457520.962084,0.00041,BJD_TDB,2019AJ....157...55H
HATS-67,14,4.87,0.0,1.60918292,8.5E-07,2459309.51399,0.00068,BJD_TDB,This work
HATS-68,24,25.46,0.00073,3.5862207,2.8E-06,2458328.48087,0.00048,BJD_TDB,This work
HATS-69,11,4.8,0.0,2.2252525,1.5E-06,2459037.14015,0.00066,BJD_TDB,This work
HATS-70,25,35.39,0.00349,1.8882393,3.1E-06,2459202.3099,0.0012,BJD_TDB,This work
HATS-71,25,24.48,0.00023,3.7955184,1.3E-06,2458378.78745,0.00019,BJD_TDB,This work
HATS-72,5,0.79,0.0,7.3279504,3.2E-06,2458380.7658,0.00024,BJD_TDB,This work
HD_003167c,1,0,0,29.8454,0.0012,2457394.9788,0.0012,JD,2017AJ....154..122C
HD_017156,11,9.5,0.0001,21.2164414,1.3E-06,2454884.02903,0.00017,BJD_TDB,This work
HD_097658,18,36.04,0.00057,9.4893067,4.8E-06,2457785.20179,0.00035,BJD_TDB,This work
HD_189733,24,15.5,0.0,2.218575143,6.3E-08,2454632.19046,0.0001,BJD_TDB,This work
K2-237,10,11.02,0.00065,2.1805338,1.1E-06,2458628.98146,0.00039,BJD_TDB,This work
KELT-03,30,60.54,0.00118,2.7033898,5.8E-07,2457472.49813,0.00029,BJD_TDB,This work
KELT-04,19,117.4,0.00208,2.989592,1.2E-05,2456279.98996,0.00059,BJD_TDB,This work
KELT-06,19,55.03,0.00279,7.8456049,6.7E-06,2457124.51136,0.00082,BJD_TDB,This work
KELT-07,26,52.31,0.0005,2.73476539,2.7E-07,2458816.51857,0.00013,BJD_TDB,This work
KELT-08,13,13.81,0.00113,3.2440788,3.3E-06,2457574.46926,0.0007,BJD_TDB,This work
KELT-09,41,45.07,0.00012,1.48111871,1.6E-07,2458415.362562,8.1E-05,BJD_TDB,This work
KELT-10,8,25.61,0.00151,4.166262,1.6E-05,2456875.07242,0.00093,BJD_TDB,This work
KELT-11,5,1.73,0.0,4.7362034,8.3E-06,2457440.8061,0.0019,BJD_TDB,This work
KELT-15,32,38.84,0.00031,3.3294663,1.1E-06,2458494.13497,0.0002,BJD_TDB,This work
KELT-16,68,64.15,0.0,0.96899285,1.1E-07,2458334.458029,8.3E-05,BJD_TDB,This work
KELT-17,11,20.4,0.00117,3.0801735,8.6E-06,2457330.86812,0.00051,BJD_TDB,This work
KELT-18,36,37.84,0.00021,2.87169867,8.5E-07,2458714.17773,0.00011,BJD_TDB,This work
KELT-19,16,33.71,0.00102,4.6117343,1.8E-06,2458494.13548,0.00031,BJD_TDB,This work
KELT-20,36,83.43,0.0007,3.47410024,6.1E-07,2458312.58564,0.00016,BJD_TDB,This work
KELT-21,26,73.33,0.00103,3.6127691,1.2E-06,2457902.87891,0.00035,BJD_TDB,This work
KELT-23,73,86.43,0.00027,2.25528739,3.8E-07,2458785.399304,5.3E-05,BJD_TDB,This work
KELT-24,26,25.11,7E-05,5.5514946,1.2E-06,2458856.912636,8.6E-05,BJD_TDB,This work
KELT-25,15,188.16,0.00162,4.4010527,5.4E-06,2459206.29011,0.00059,BJD_TDB,This work
Kepler-448,72,374.85,0.00063,17.8552329,3.3E-06,2456408.01473,0.00016,BJD_TDB,This work
KPS-1,29,25.65,0.0,1.7063254,7.6E-07,2458684.02836,0.00025,BJD_TDB,This work
MASCARA-4,17,11.14,0.0,2.8240742,6.3E-06,2458618.781,0.0016,BJD_TDB,This work
NGTS-01,1,0,0,2.647297,2.1E-05,2457720.65939,0.00067,BJD,2018MNRAS.475.4467B
NGTS-02,10,23.66,0.00076,4.5111228,2.3E-06,2458602.70654,0.00032,BJD_TDB,This work
NGTS-03A,1,0,0,1.6753728,3E-06,2457620.168698,0.00095,BJD_TDB,2018MNRAS.478.4720G
NGTS-06,1,0,0,0.882059,0.0000008,2457982.3784,0.0003,BJD,2019MNRAS.489.4125V
NGTS-08,1,0,0,2.49970,0.00001,2457500.1783,0.00072,BJD,2020MNRAS.491.2834C
NGTS-09,5,7.68,0.00249,4.435272,1.1E-05,2458518.9479,0.0019,BJD_TDB,This work
NGTS-10,1,0,0,0.7668944,3E-07,2457518.844568,0.00017,BJD_TDB,2020MNRAS.493..126M
NGTS-11b,3,0.76,0.0,35.455984,7.7E-05,2458390.70545,0.00092,BJD_TDB,This work
NGTS-11c,4,0.7,0,12.772591,7.6E-05,2458402.5687,0.0019,BJD_TDB,This work
NGTS-12,4,1.05,0.0,7.5332,0.0014,2458580.3875,0.0013,BJD_TDB,This work
OGLE-TR-056,27,94.76,0.00118,1.21191126,2.8E-07,2454995.81093,0.00031,BJD_TDB,This work
OGLE-TR-113,24,37.38,0.00029,1.43247534,1.5E-07,2454819.73853,0.00011,BJD_TDB,This work
Qatar-1,178,317.78,0.00034,1.420024291,4.5E-08,2457570.346134,4.2E-05,BJD_TDB,This work
Qatar-10,188,250.87,0.00043,1.64532608,4.5E-07,2458846.806154,7.2E-05,BJD_TDB,This work
Qatar-2,34,78.5,0.00071,1.3371164,1.1E-06,2456030.75054,0.00015,BJD_TDB,This work
Qatar-3,7,5.73,0.00074,2.507896,4.6E-06,2457746.35064,0.00065,BJD_TDB,This work
Qatar-4,16,25.95,0.0006,1.8053663,1.5E-06,2457762.3441,0.00026,BJD_TDB,This work
Qatar-5,13,82.29,0.0018,2.8792973,3.5E-06,2458030.67126,0.00072,BJD_TDB,This work
Qatar-6,6,1.11,0.0,3.506195,1.8E-05,2457836.62562,0.00026,BJD_TDB,This work
Qatar-7,4,0.2,0.0,2.032069,1.8E-05,2458063.64145,0.00018,BJD_TDB,This work
Qatar-8,34,40.05,0.00035,3.7146467,1.5E-06,2458846.04383,0.00016,BJD_TDB,This work
Qatar-9,30,21.97,0.0,1.54077534,4.6E-07,2458871.80057,0.00014,BJD_TDB,This work
TrES-1,61,218.61,0.00082,3.03006977,1.4E-07,2456168.3959,0.00012,BJD_TDB,This work
TrES-2 A,135,165.04,0.0002,2.470613501,5.8E-08,2457552.377975,5.7E-05,BJD_TDB,This work
TrES-3,248,697.39,0.00449,1.30618627,2.1E-07,2456824.4074,0.0003,BJD_TDB,This work
TrES-4,28,18.08,0.0,3.55392921,2.7E-07,2455321.9619,0.00022,BJD_TDB,This work
TrES-5,72,164.19,0.00081,1.4822464,1.5E-07,2457269.3811,0.00013,BJD_TDB,This work
WASP-001,36,65.2,0.00118,2.51994639,3.9E-07,2456543.33866,0.00028,BJD_TDB,This work
WASP-002,39,79.84,0.00094,2.15222163,7.9E-07,2455381.85015,0.00028,BJD_TDB,This work
WASP-003,100,246.71,0.00064,1.846835146,8.8E-08,2455850.326703,9.1E-05,BJD_TDB,This work
WASP-004,122,98.6,0.0,1.338231371,2.4E-08,2456576.675079,3.1E-05,BJD_TDB,This work
WASP-005,63,116.2,0.00046,1.628429914,7.9E-08,2456876.893812,8.8E-05,BJD_TDB,This work
WASP-006,25,17.59,0.0,3.36100237,1.4E-07,2456132.410973,7.5E-05,BJD_TDB,This work
WASP-007,6,21.57,0.00109,4.9546515,1.3E-06,2455446.6361,0.00081,BJD_TDB,This work
WASP-008,3,0.15,0.0,8.1587289,1.3E-06,2458358.92067,0.00029,BJD_TDB,This work
WASP-010,41,107.66,0.00053,3.09272888,6.6E-07,2456188.75346,0.00023,BJD_TDB,This work
WASP-011,28,75.95,0.00064,3.72247896,3.1E-07,2456263.56891,0.00015,BJD_TDB,This work
WASP-012,147,661.85,0.00075,1.091419108,5.5E-08,2457010.512173,7E-05,BJD_TDB,This work
WASP-013,11,50.4,0.00129,4.35301126,9.4E-07,2455575.51488,0.0005,BJD_TDB,This work
WASP-014,16,108.75,0.00197,2.2437657,2.7E-06,2455605.65303,0.00066,BJD_TDB,This work
WASP-015,10,11.86,0.00022,3.7520997,4.2E-07,2456036.76051,0.00015,BJD_TDB,This work
WASP-016,17,69.22,0.00078,3.11860355,4.6E-07,2456087.59674,0.00025,BJD_TDB,This work
WASP-017,31,727.7,0.00444,3.7354826,1.5E-06,2457192.70049,0.00089,BJD_TDB,This work
WASP-018,102,45.06,0.0,0.941452422,3.5E-08,2453403.35962,0.0002,BJD_TDB,This work
WASP-019,141,204.44,0.00028,0.788839025,2.2E-08,2456977.776606,4.2E-05,BJD_TDB,This work
WASP-020,11,8.3,0.0,4.89964485,5.5E-07,2458356.56496,0.00015,BJD_TDB,This work
WASP-021,17,129.85,0.00214,4.3225065,2.3E-06,2456558.49577,0.0006,BJD_TDB,This work
WASP-022,16,31.97,0.00076,3.53272966,6.3E-07,2456189.81537,0.00026,BJD_TDB,This work
WASP-023,21,20.63,0.00013,2.9444276,2E-07,2455982.61987,0.00017,BJD_TDB,This work
WASP-024,32,82.15,0.00074,2.34122166,7.7E-07,2456024.89215,0.00022,BJD_TDB,This work
WASP-025,12,12.29,0.00021,3.76483312,3.7E-07,2456449.62486,0.00016,BJD_TDB,This work
WASP-026,14,24.76,0.00051,2.75659784,3.6E-07,2456548.80037,0.00022,BJD_TDB,This work
WASP-028,54,63.68,0.00056,3.40883458,4.1E-07,2456933.46456,0.00013,BJD_TDB,This work
WASP-029,14,9.18,0.0,3.92271159,3.8E-07,2458356.41495,0.00011,BJD_TDB,This work
WASP-031,19,17.65,0.0001,3.40588719,2.8E-07,2456371.12617,0.00014,BJD_TDB,This work
WASP-032,17,13.17,0.0,2.71866151,2.4E-07,2456523.97994,0.00017,BJD_TDB,This work
WASP-033,29,216.59,0.00185,1.2198707,3.8E-07,2456217.48738,0.00039,BJD_TDB,This work
WASP-034,15,88.82,0.00246,4.317687,1.8E-06,2455739.9254,0.0011,BJD_TDB,This work
WASP-035,16,9.39,0.0,3.1615685,2.8E-07,2458440.122792,8.4E-05,BJD_TDB,This work
WASP-036,77,95.52,0.00022,1.537365606,8.1E-08,2457045.708846,5.5E-05,BJD_TDB,This work
WASP-037,13,24.01,0.00133,3.5774801,1.7E-06,2456454.79438,0.00064,BJD_TDB,This work
WASP-038,6,5.38,0.00073,6.8718897,3.9E-06,2455363.40837,0.00051,BJD_TDB,This work
WASP-039,7,5.81,0.00014,4.05527892,8.6E-07,2456401.39763,0.00013,BJD_TDB,This work
WASP-041,34,80.79,0.00046,3.05240197,2.2E-07,2456765.88431,0.00012,BJD_TDB,This work
WASP-042,20,19.92,0.00012,4.98168178,3.2E-07,2456472.54482,0.0001,BJD_TDB,This work
WASP-043,167,449.34,0.0005,0.813474037,2.8E-08,2457423.449697,4.8E-05,BJD_TDB,This work
WASP-044,31,68.38,0.00082,2.42381058,4.4E-07,2456629.31539,0.00019,BJD_TDB,This work
WASP-045,24,344.51,0.00173,3.12607402,9.2E-07,2456497.88584,0.00049,BJD_TDB,This work
WASP-046,87,1732.07,0.00169,1.43037254,2.4E-07,2457274.6851,0.00019,BJD_TDB,This work
WASP-047b,21,47.33,0.00043,4.15914806,7E-07,2457045.3654,0.00012,BJD_TDB,This work
WASP-048,98,490.01,0.00175,2.14363601,3.2E-07,2456811.50715,0.00029,BJD_TDB,This work
WASP-049,21,18.57,0.0,2.78173708,2.1E-07,2458470.81963,0.00011,BJD_TDB,This work
WASP-050,25,24.65,0.0001,1.95509299,1.1E-07,2458411.093103,7.4E-05,BJD_TDB,This work
WASP-052,51,175.14,0.00093,1.74978082,3.9E-07,2457399.98072,0.00017,BJD_TDB,This work
WASP-053,13,3.26,0.0,3.30984314,3.8E-07,2458386.23117,0.00015,BJD_TDB,This work
WASP-054,5,4.56,0.00043,3.6935999,1E-06,2458931.23648,0.00035,BJD_TDB,This work
WASP-055,21,20.97,0.00019,4.4656294,4.2E-07,2456778.43182,0.00013,BJD_TDB,This work
WASP-056,11,45.3,0.00216,4.617057,3.5E-06,2458902.71972,0.00093,BJD_TDB,This work
WASP-057,30,160.23,0.00183,2.8389228,2.1E-06,2456001.77062,0.00046,BJD_TDB,This work
WASP-058,28,27.43,0.00017,5.01721434,8.9E-07,2457120.57781,0.00034,BJD_TDB,This work
WASP-059,1,0,0,7.919585,1E-05,2455830.956337,0.00053,BJD_TDB,2013A&A...549A.134H
WASP-060,5,3.86,0.00053,4.305003,5.5E-06,2456263.63228,0.00066,BJD_TDB,This work
WASP-061,13,8.24,0.0,3.85589655,5.4E-07,2458439.12378,0.00026,BJD_TDB,This work
WASP-062,129,116.69,0.0,4.41193852,2.5E-07,2457858.413192,6.2E-05,BJD_TDB,This work
WASP-063,19,15.51,0.0,4.37808205,7.6E-07,2458469.69708,0.00018,BJD_TDB,This work
WASP-064,67,71.63,0.00015,1.573290281,9.4E-08,2457366.713065,9.2E-05,BJD_TDB,This work
